Date,Close
12/26/18,405.72
12/27/18,414.55
12/28/18,424.19
12/31/18,431.79
1/2/19,443.36
1/3/19,439.45
1/4/19,455
1/7/19,485.15
1/8/19,497.37
1/9/19,498.48
1/10/19,509.62
1/11/19,506.95
1/14/19,501.99
1/15/19,514.49
1/16/19,514.82
1/17/19,517.66
1/18/19,513.24
1/22/19,520.08
1/23/19,521.37
1/24/19,533.39
1/25/19,543.37
1/28/19,532
1/29/19,530.06
1/30/19,532.98
1/31/19,529.61
2/1/19,527.2
2/4/19,527.92
2/5/19,526.65
2/6/19,526.06
2/7/19,585.78
2/8/19,582.77
2/11/19,603.36
2/12/19,593.66
2/13/19,599.62
2/14/19,604.43
2/15/19,605.89
2/19/19,599.46
2/20/19,597.74
2/21/19,601.19
2/22/19,600.22
2/25/19,596.66
2/26/19,599.5
2/27/19,599.28
2/28/19,607.53
3/1/19,611.63
3/4/19,618.85
3/5/19,616.01
3/6/19,613.41
3/7/19,609.53
3/8/19,616.44
3/11/19,616.88
3/12/19,630.99
3/13/19,637.07
3/14/19,642.39
3/15/19,639
3/18/19,655.8
3/19/19,665.86
3/20/19,665.79
3/21/19,670.45
3/22/19,671.46
3/25/19,676.77
3/26/19,688.82
3/27/19,697.87
3/28/19,702.51
3/29/19,710.31
4/1/19,705.74
4/2/19,704.8
4/3/19,705.64
4/4/19,703.38
4/5/19,708.37
4/8/19,714.68
4/9/19,710.67
4/10/19,718.85
4/11/19,707.53
4/12/19,712.44
4/15/19,712.27
4/16/19,706.48
4/17/19,688.21
4/18/19,700
4/22/19,701.67
4/23/19,702.46
4/24/19,709.75
4/25/19,678.07
4/26/19,676.79
4/29/19,677.9
4/30/19,688.04
5/1/19,688.56
5/2/19,707.87
5/3/19,709.52
5/6/19,716.67
5/7/19,706.52
5/8/19,709.57
5/9/19,705.13
5/10/19,705.44
5/13/19,687.27
5/14/19,703.18
5/15/19,705.89
5/16/19,708.93
5/17/19,715.91
5/20/19,718
5/21/19,715
5/22/19,706.04
5/23/19,667.12
5/24/19,662.56
5/28/19,680.07
5/29/19,667.97
5/30/19,678
5/31/19,659.97
6/3/19,641.66
6/4/19,662.18
6/5/19,679.48
6/6/19,692.18
6/7/19,709.87
6/10/19,720.52
6/11/19,729.24
6/12/19,737.74
6/13/19,732.29
6/14/19,740.59
6/17/19,731.65
6/18/19,732.54
6/19/19,736.35
6/20/19,738.8
6/21/19,726.85
6/24/19,724.13
6/25/19,733.22
6/26/19,727.49
6/27/19,724.12
6/28/19,732.88
7/1/19,725.39
7/2/19,723.08
7/3/19,730.98
7/5/19,739.54
7/8/19,748.8
7/9/19,745.49
7/10/19,743.01
7/11/19,740.06
7/12/19,750.85
7/15/19,759.87
